Purchasing Household Id,Total Follow Up Orders,Is Oad,Customer Retained,Product Id First Order,product price,Product Price Bucket,2022 Score,2022 score buckets,is gorgeous box,Total Gmv Three Month (PHH_GMV),Product Category,avg_category_price,relation to avg_category_price
4280664,0,true,false,31405.0,119.95,110.0,49.0,40.0,false,,,,
4212517,0,true,false,21671.0,79.95,70.0,40.0,40.0,false,69.95,,,
4271746,0,true,false,42143.0,99.95,90.0,47.0,40.0,true,,,,
4224980,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,77.29,,,
4241861,0,true,false,31773.0,149.99,140.0,50.0,50.0,false,129.99,Ice Cream Pints,99.95493991989319,more
4291374,0,true,false,27880.0,149.95,140.0,33.0,30.0,false,198.95,,,
4313125,0,true,false,31274.0,89.95,80.0,56.0,50.0,false,89.95,,,
4338831,0,true,false,42143.0,99.95,90.0,47.0,40.0,true,119.95,,,
4364216,0,true,false,14862.0,89.95,80.0,44.0,40.0,true,84.95,Cookie Sampler,68.47264227642275,more
4365819,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,96.99,,,
4369034,0,true,false,34053.0,132.99,130.0,36.0,30.0,false,132.99,Sugar Cookies,59.9580487804878,more
4321409,0,true,false,25946.0,95.95,90.0,42.0,40.0,false,104.95,Soups,93.61987124463519,more
4244374,0,true,false,34180.0,99.95,90.0,46.0,40.0,false,102.4,,,
4375630,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,112.15,,,
4221687,0,true,false,26386.0,99.95,90.0,39.0,30.0,true,99.95,Fruit Pies,74.89887550200801,more
4208112,0,true,false,33070.0,99.95,90.0,41.0,40.0,false,34.95,,,
4297205,0,true,false,39694.0,99.95,90.0,48.0,40.0,false,119.95,,,
4267614,1,false,true,15190.0,72.95,70.0,43.0,40.0,false,81.95,King Cake,74.9,less
4330056,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,,,,
4322905,0,true,false,15190.0,72.95,70.0,43.0,40.0,false,87.95,King Cake,74.9,less
4199379,0,true,false,31364.0,104.95,100.0,7.0,0.0,false,26.0,Pi Day,89.8469696969697,more
4358699,0,true,false,25093.0,145.95,140.0,39.0,30.0,true,72.65,,,
4211844,0,true,false,15190.0,72.95,70.0,43.0,40.0,false,81.95,King Cake,74.9,less
4290455,0,true,false,31773.0,149.99,140.0,50.0,50.0,false,156.54,Ice Cream Pints,99.95493991989319,more
4257261,0,true,false,27369.0,82.95,80.0,36.0,30.0,false,94.53,,,
4268753,0,true,false,26210.0,89.95,80.0,40.0,40.0,true,82.95,,,
4346804,0,true,false,21647.0,79.95,70.0,43.0,40.0,true,79.95,Stromboli,132.70000000000002,less
4241003,0,true,false,24241.0,99.95,90.0,50.0,50.0,false,162.95,,,
4315992,0,true,false,12445.0,79.95,70.0,31.0,30.0,true,79.95,Iconic Sandwiches,136.66508417508416,less
4357933,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,76.99,,,
4263339,0,true,false,24264.0,89.95,80.0,38.0,30.0,true,84.95,Ice Cream Pints,99.95493991989319,less
4236050,0,true,false,19478.0,72.95,70.0,25.0,20.0,false,72.95,,,
4329542,0,true,false,31274.0,89.95,80.0,56.0,50.0,false,89.95,,,
4378763,0,true,false,41002.0,109.95,100.0,52.0,50.0,true,9.13,,,
4346235,0,true,false,26688.0,125.95,120.0,45.0,40.0,false,127.21,,,
4267045,0,true,false,24241.0,99.95,90.0,50.0,50.0,false,99.95,,,
4352266,0,true,false,31077.0,169.95,160.0,49.0,40.0,false,99.95,,,
4376469,0,true,false,26370.0,109.95,100.0,50.0,50.0,true,109.95,Scones,64.82307692307693,more
4350449,0,true,false,20294.0,134.99,130.0,39.0,30.0,false,158.99,Sausages,90.78966346153847,more
4312824,0,true,false,21671.0,79.95,70.0,40.0,40.0,false,69.95,,,
4215188,0,true,false,37636.0,94.95,90.0,42.0,40.0,false,101.85,Chocolate Pies,64.76865671641791,more
4353526,1,false,true,22179.0,84.95,80.0,54.0,50.0,false,149.9,,,
4198855,0,true,false,17352.0,119.95,110.0,46.0,40.0,false,14.95,,,
4256340,0,true,false,27369.0,82.95,80.0,36.0,30.0,false,108.83,,,
4283058,0,true,false,19527.0,99.95,90.0,37.0,30.0,false,89.95,Smoked Salmon,109.68619999999999,less
4336770,0,true,false,12445.0,79.95,70.0,31.0,30.0,true,19.15,Iconic Sandwiches,136.66508417508416,less
4315170,0,true,false,42143.0,99.95,90.0,47.0,40.0,true,124.95,,,
4246466,0,true,false,20900.0,99.95,90.0,27.0,20.0,true,74.91,,,
4246466,0,true,false,33316.0,119.95,110.0,50.0,50.0,true,74.91,,,
4214350,0,true,false,34053.0,132.99,130.0,36.0,30.0,false,136.99,Sugar Cookies,59.9580487804878,more
4235737,0,true,false,12445.0,79.95,70.0,31.0,30.0,true,79.95,Iconic Sandwiches,136.66508417508416,less
4212261,0,true,false,27369.0,82.95,80.0,36.0,30.0,false,,,,
4225606,0,true,false,34253.0,119.95,110.0,57.0,50.0,false,109.95,,,
4361155,0,true,false,37509.0,109.95,100.0,45.0,40.0,false,129.95,,,
4199447,0,true,false,15139.0,130.0,130.0,39.0,30.0,false,156.95,,,
4286313,1,false,true,30208.0,134.95,130.0,49.0,40.0,false,254.89999999999998,,,
4321590,0,true,false,38363.0,75.95,70.0,43.0,40.0,true,101.6,,,
4260304,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4352634,0,true,false,27880.0,149.95,140.0,33.0,30.0,false,151.31,,,
4293960,0,true,false,20730.0,84.95,80.0,37.0,30.0,false,239.85000000000002,,,
4289077,0,true,false,27300.0,89.95,80.0,42.0,40.0,true,85.95,,,
4239449,0,true,false,41254.0,99.95,90.0,34.0,30.0,true,99.95,,,
4213431,0,true,false,31274.0,89.95,80.0,56.0,50.0,false,89.95,,,
4316505,0,true,false,26688.0,125.95,120.0,45.0,40.0,false,125.95,,,
4329752,1,false,true,42143.0,99.95,90.0,47.0,40.0,true,275.69,,,
4324657,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,109.95,,,
4308322,0,true,false,20730.0,84.95,80.0,37.0,30.0,false,84.95,,,
4376216,1,false,true,23952.0,99.95,90.0,54.0,50.0,true,206.9,,,
4236119,0,true,false,34053.0,132.99,130.0,36.0,30.0,false,114.99,Sugar Cookies,59.9580487804878,more
4235291,0,true,false,31778.0,115.99,110.0,41.0,40.0,false,115.24,,,
4348448,0,true,false,31772.0,129.99,120.0,52.0,50.0,false,144.99,Meal Kits,155.47069216757743,less
4346719,0,true,false,30135.0,89.95,80.0,52.0,50.0,false,90.85,,,
